?? ??								
								
???? ???								
?? ????	0.860605987							
????	0.740642664							
??? ????	0.733789726							
?? ??	4.745298182							
???	506							
								
?? ??								
	???	???	?? ??	F ?	??? F			
??	13	31637.51084	2433.65468	108.0766662	6.7222E-135			
??	492	11078.78458	22.51785483					
?	505	42716.29542						
								
	??	?? ??	t ???	P-?	?? 95%	?? 95%	?? 95.0%	?? 95.0%
Y ??	36.45948839	5.103458811	7.144074193	3.28344E-12	26.43222601	46.48675076	26.43222601	46.48675076
crim	-0.108011358	0.032864994	-3.286516871	0.00108681	-0.172584412	-0.043438304	-0.172584412	-0.043438304
zn	0.046420458	0.013727462	3.381576282	0.00077811	0.019448778	0.073392139	0.019448778	0.073392139
indus	0.020558626	0.061495689	0.334310042	0.738288071	-0.100267941	0.141385193	-0.100267941	0.141385193
chas	2.686733819	0.861579756	3.118380858	0.00192503	0.993904193	4.379563446	0.993904193	4.379563446
nox	-17.76661123	3.819743707	-4.651257411	4.24564E-06	-25.27163356	-10.26158889	-25.27163356	-10.26158889
rm	3.809865207	0.417925254	9.1161402	1.97944E-18	2.988726773	4.63100364	2.988726773	4.63100364
age	0.000692225	0.013209782	0.052402427	0.958229309	-0.02526232	0.026646769	-0.02526232	0.026646769
dis	-1.475566846	0.199454735	-7.398003603	6.01349E-13	-1.867454981	-1.08367871	-1.867454981	-1.08367871
rad	0.306049479	0.06634644	4.612899768	5.07053E-06	0.175692169	0.436406789	0.175692169	0.436406789
tax	-0.012334594	0.003760536	-3.28000914	0.001111637	-0.019723286	-0.004945902	-0.019723286	-0.004945902
ptratio	-0.952747232	0.130826756	-7.282510564	1.30884E-12	-1.209795296	-0.695699168	-1.209795296	-0.695699168
black	0.009311683	0.002685965	3.466792558	0.000572859	0.004034306	0.01458906	0.004034306	0.01458906
lstat	-0.524758378	0.050715278	-10.3471458	7.77691E-23	-0.624403622	-0.425113133	-0.624403622	-0.425113133
