manufacturer	model	trans	drv	displ	year	cyl	cty	hwy	fl	class
dodge	durango 4wd	auto(l4)	4	3.9	1999	6	13	17	r	suv
ford	f150 pickup 4wd	manual(m5)	4	4.6	1999	8	13	16	r	pickup
volkswagen	gti	auto(l4)	f	2	1999	4	19	26	r	compact
nissan	altima	manual(m5)	f	2.4	1999	4	21	29	r	compact
volkswagen	gti	auto(s6)	f	2	2008	4	22	29	p	compact
volkswagen	gti	manual(m5)	f	2	1999	4	21	29	r	compact
land rover	range rover	auto(s6)	4	4.2	2008	8	12	18	r	suv
toyota	camry	auto(l5)	f	2.4	2008	4	21	31	r	midsize
ford	mustang	auto(l5)	r	4	2008	6	16	24	r	subcompact
volkswagen	gti	manual(m6)	f	2	2008	4	21	29	p	compact
toyota	corolla	manual(m5)	f	1.8	1999	4	26	35	r	compact
audi	a4 quattro	manual(m5)	4	1.8	1999	4	18	26	p	compact
dodge	caravan 2wd	auto(l4)	f	3.3	2008	6	11	17	e	minivan
ford	expedition 2wd	auto(l4)	r	5.4	1999	8	11	17	r	suv
dodge	dakota pickup 4wd	auto(l5)	4	4.7	2008	8	14	19	r	pickup
ford	f150 pickup 4wd	auto(l4)	4	4.2	1999	6	14	17	r	pickup
dodge	caravan 2wd	auto(l4)	f	3.8	1999	6	15	21	r	minivan
chevrolet	malibu	auto(s6)	f	3.6	2008	6	17	26	r	midsize
volkswagen	gti	manual(m5)	f	2.8	1999	6	17	24	r	compact
mercury	mountaineer 4wd	auto(l5)	4	4	2008	6	13	19	r	suv
chevrolet	c1500 suburban 2wd	auto(l4)	r	5.7	1999	8	13	17	r	suv
dodge	caravan 2wd	auto(l4)	f	3	1999	6	17	24	r	minivan
chevrolet	corvette	auto(l4)	r	5.7	1999	8	15	23	p	2seater
honda	civic	manual(m5)	f	1.6	1999	4	23	29	p	subcompact
ford	expedition 2wd	auto(l4)	r	4.6	1999	8	11	17	r	suv
ford	expedition 2wd	auto(l6)	r	5.4	2008	8	12	18	r	suv
dodge	durango 4wd	auto(l5)	4	4.7	2008	8	13	17	r	suv
ford	explorer 4wd	auto(l6)	4	4.6	2008	8	13	19	r	suv
subaru	impreza awd	manual(m5)	4	2.5	2008	4	20	27	r	compact
ford	mustang	manual(m6)	r	5.4	2008	8	14	20	p	subcompact
hyundai	tiburon	auto(l4)	f	2	2008	4	20	27	r	subcompact
audi	a4 quattro	manual(m5)	4	2.8	1999	6	17	25	p	compact
honda	civic	auto(l4)	f	1.6	1999	4	24	32	r	subcompact
ford	f150 pickup 4wd	auto(l4)	4	5.4	1999	8	11	15	r	pickup
volkswagen	jetta	manual(m5)	f	1.9	1999	4	33	44	d	compact
nissan	maxima	auto(av)	f	3.5	2008	6	19	25	p	midsize
chevrolet	c1500 suburban 2wd	auto(l4)	r	5.3	2008	8	14	20	r	suv
volkswagen	jetta	auto(l4)	f	2	1999	4	19	26	r	compact
volkswagen	jetta	auto(s6)	f	2	2008	4	22	29	p	compact
toyota	camry solara	manual(m5)	f	2.4	2008	4	21	31	r	compact
toyota	land cruiser wagon 4wd	auto(s6)	4	5.7	2008	8	13	18	r	suv
dodge	ram 1500 pickup 4wd	auto(l5)	4	4.7	2008	8	13	17	r	pickup
dodge	dakota pickup 4wd	manual(m5)	4	3.9	1999	6	14	17	r	pickup
jeep	grand cherokee 4wd	auto(l5)	4	3	2008	6	17	22	d	suv
toyota	4runner 4wd	manual(m5)	4	2.7	1999	4	15	20	r	suv
toyota	corolla	auto(l3)	f	1.8	1999	4	24	30	r	compact
chevrolet	k1500 tahoe 4wd	auto(l4)	4	5.3	2008	8	11	14	e	suv
toyota	camry solara	auto(s5)	f	3.3	2008	6	18	27	r	compact
ford	mustang	auto(l4)	r	3.8	1999	6	18	25	r	subcompact
nissan	pathfinder 4wd	auto(s5)	4	5.6	2008	8	12	18	p	suv
toyota	corolla	manual(m5)	f	1.8	2008	4	28	37	r	compact
subaru	impreza awd	auto(s4)	4	2.5	2008	4	20	27	r	compact
pontiac	grand prix	auto(l4)	f	3.1	1999	6	18	26	r	midsize
land rover	range rover	auto(l4)	4	4	1999	8	11	15	p	suv
ford	explorer 4wd	auto(l5)	4	4	1999	6	14	17	r	suv
volkswagen	jetta	manual(m5)	f	2	1999	4	21	29	r	compact
subaru	forester awd	manual(m5)	4	2.5	1999	4	18	25	r	suv
nissan	altima	manual(m6)	f	2.5	2008	4	23	32	r	midsize
toyota	camry	auto(l4)	f	2.2	1999	4	21	27	r	midsize
audi	a4 quattro	auto(l5)	4	2.8	1999	6	15	25	p	compact
dodge	ram 1500 pickup 4wd	manual(m5)	4	5.2	1999	8	11	16	r	pickup
subaru	forester awd	manual(m5)	4	2.5	2008	4	20	27	r	suv
toyota	camry	manual(m5)	f	3	1999	6	18	26	r	midsize
dodge	dakota pickup 4wd	auto(l5)	4	4.7	2008	8	14	19	r	pickup
toyota	camry	auto(s6)	f	3.5	2008	6	19	28	r	midsize
toyota	4runner 4wd	auto(l4)	4	2.7	1999	4	16	20	r	suv
volkswagen	jetta	manual(m6)	f	2	2008	4	21	29	p	compact
pontiac	grand prix	auto(l4)	f	3.8	2008	6	18	28	r	midsize
dodge	caravan 2wd	auto(l4)	f	3.3	1999	6	16	22	r	minivan
ford	mustang	auto(l5)	r	4.6	2008	8	15	22	r	subcompact
hyundai	sonata	auto(l4)	f	2.4	1999	4	18	26	r	midsize
chevrolet	k1500 tahoe 4wd	auto(l4)	4	5.3	2008	8	14	19	r	suv
hyundai	sonata	auto(l5)	f	3.3	2008	6	19	28	r	midsize
jeep	grand cherokee 4wd	auto(l5)	4	6.1	2008	8	11	14	p	suv
nissan	pathfinder 4wd	auto(l5)	4	4	2008	6	14	20	p	suv
audi	a6 quattro	auto(s6)	4	3.1	2008	6	17	25	p	midsize
nissan	altima	manual(m6)	f	3.5	2008	6	19	27	p	midsize
jeep	grand cherokee 4wd	auto(l5)	4	5.7	2008	8	13	18	r	suv
ford	f150 pickup 4wd	manual(m5)	4	4.2	1999	6	14	17	r	pickup
subaru	impreza awd	auto(l4)	4	2.5	1999	4	19	26	r	subcompact
ford	explorer 4wd	manual(m5)	4	4	1999	6	15	19	r	suv
toyota	toyota tacoma 4wd	manual(m6)	4	4	2008	6	15	18	r	pickup
dodge	caravan 2wd	auto(l6)	f	3.8	2008	6	16	23	r	minivan
volkswagen	jetta	auto(s6)	f	2.5	2008	5	21	29	r	compact
toyota	toyota tacoma 4wd	auto(l4)	4	3.4	1999	6	15	19	r	pickup
lincoln	navigator 2wd	auto(l6)	r	5.4	2008	8	12	18	r	suv
mercury	mountaineer 4wd	auto(l6)	4	4.6	2008	8	13	19	r	suv
dodge	ram 1500 pickup 4wd	auto(l5)	4	4.7	2008	8	9	12	e	pickup
ford	explorer 4wd	auto(l4)	4	5	1999	8	13	17	r	suv
volkswagen	jetta	manual(m5)	f	2.5	2008	5	21	29	r	compact
